algorithm,n,k,time_ms
InsertSort_TopK,10000,1,3.53015
SelectionSort_TopK,10000,1,3.47806
BubbleSort_TopK,10000,1,3.67191
QuickSelect_TopK,10000,1,3.69292
MinHeap_TopK,10000,1,3.56602
InsertSort_TopK,10000,5,3.52703
SelectionSort_TopK,10000,5,3.60947
BubbleSort_TopK,10000,5,4.21989
QuickSelect_TopK,10000,5,3.66172
MinHeap_TopK,10000,5,3.57408
InsertSort_TopK,10000,10,3.52883
SelectionSort_TopK,10000,10,3.68412
BubbleSort_TopK,10000,10,4.88344
QuickSelect_TopK,10000,10,3.66218
MinHeap_TopK,10000,10,3.55579
InsertSort_TopK,10000,20,3.51747
SelectionSort_TopK,10000,20,3.90322
BubbleSort_TopK,10000,20,6.23289
QuickSelect_TopK,10000,20,3.66758
MinHeap_TopK,10000,20,3.56967
InsertSort_TopK,10000,50,3.57251
SelectionSort_TopK,10000,50,4.55792
BubbleSort_TopK,10000,50,10.2805
QuickSelect_TopK,10000,50,3.69537
MinHeap_TopK,10000,50,3.56616
InsertSort_TopK,10000,100,3.63117
SelectionSort_TopK,10000,100,5.63628
BubbleSort_TopK,10000,100,17.0315
QuickSelect_TopK,10000,100,3.6555
MinHeap_TopK,10000,100,3.71264
InsertSort_TopK,10000,200,3.91615
SelectionSort_TopK,10000,200,7.78941
BubbleSort_TopK,10000,200,30.315
QuickSelect_TopK,10000,200,3.70055
MinHeap_TopK,10000,200,3.88817
InsertSort_TopK,10000,500,5.32582
SelectionSort_TopK,10000,500,14.1483
BubbleSort_TopK,10000,500,69.1496
QuickSelect_TopK,10000,500,3.68146
MinHeap_TopK,10000,500,4.30954
InsertSort_TopK,10000,1000,9.01961
SelectionSort_TopK,10000,1000,24.4981
BubbleSort_TopK,10000,1000,131.481
QuickSelect_TopK,10000,1000,3.5979
MinHeap_TopK,10000,1000,4.91816
